message,category
I want a refund for my last order,Refund Request
My order hasn't arrived yet,Order Status
The app crashes when I open it,Technical Issue
I can't log in to my account,Account Problem
Please cancel my subscription,Cancellation
My payment failed during checkout,Payment Issue
I was charged twice for one order,Refund Request
I forgot my password,Account Problem
I need to change my delivery address,Address Change
Why was my account suspended?,Account Problem
My promo code isn’t working,Promotion Issue
How do I update my email?,Account Settings
I want to pause my subscription,Cancellation
Please help me reset my password,Account Problem
I didn't receive my confirmation email,Order Status
I want to return this product,Refund Request
I want to upgrade my plan,Plan Change
I want to downgrade my subscription,Plan Change
App keeps showing a blank screen,Technical Issue
Item received is damaged,Refund Request
I didn’t get my invoice,Billing Issue
Payment went through but I didn’t get the order,Payment Issue
How can I track my order?,Order Status
Help me change my phone number,Account Settings
Why was I charged extra?,Billing Issue
I need a refund for wrong product,Refund Request
Cancel my plan immediately,Cancellation
App logs me out randomly,Technical Issue
I want to delete my account,Account Deletion
Need to reactivate my account,Account Problem
I’m unable to apply the discount code,Promotion Issue
I want to switch to yearly plan,Plan Change
Status of my delivery?,Order Status
Please resend confirmation email,Order Status
What’s the return policy?,Refund Request
How do I get my money back?,Refund Request
Can I delay the delivery?,Delivery Issue
My subscription renewed automatically,Plan Change
How do I stop auto-renewal?,Plan Change
Charged even after cancellation,Refund Request
Wrong item delivered,Refund Request
How to contact support?,General Inquiry
I have a billing dispute,Billing Issue
App is very slow,Technical Issue
Help with login verification,Account Problem
I want to change my payment method,Billing Issue
Delivery delayed by 2 days,Delivery Issue
Want to apply for student discount,Promotion Issue
Product not as described,Refund Request
I want to reopen a closed ticket,General Inquiry
Please close my account,Account Deletion
The order tracking link is broken,Order Status
Still waiting for my refund,Refund Request
I didn’t get my welcome bonus,Promotion Issue
Can I get a call back?,General Inquiry
The support number isn’t working,General Inquiry
App not compatible with my phone,Technical Issue
Can I pay using PayPal?,Billing Issue
Need help updating my profile,Account Settings
Can’t access premium features,Account Problem
Wrong pricing on website,Billing Issue
Duplicate charge on credit card,Billing Issue
I didn’t get invoice for my order,Billing Issue
How do I change my password?,Account Settings
Need help changing subscription plan,Plan Change
How to track a replacement order?,Order Status
Why was I charged before trial ended?,Billing Issue
Still not received my order,Order Status
App stuck on loading screen,Technical Issue
Need refund for cancelled order,Refund Request
Unable to reset my password,Account Problem
Want to apply referral code,Promotion Issue
Refund not processed yet,Refund Request
Charged for a cancelled order,Refund Request
When will I receive refund?,Refund Request
Help with updating shipping address,Address Change
Can’t complete checkout,Payment Issue
How do I enable notifications?,Account Settings
App crashing on startup,Technical Issue
Want to switch to monthly billing,Plan Change
Change email for my account,Account Settings
Can I get GST invoice?,Billing Issue
Help me update my card details,Billing Issue
How long does refund take?,Refund Request
Can't download invoice,Order Status
Delay in product delivery,Delivery Issue
Where can I enter the coupon code?,Promotion Issue
Still waiting on refund confirmation,Refund Request
System logged me out again,Account Problem
Resetting my password isn't working,Account Problem
Subscription was renewed wrongly,Plan Change
Charged wrongly after upgrade,Billing Issue
Not able to verify OTP,Account Problem
Want to cancel without penalty,Cancellation
Delivery person didn’t call,Delivery Issue
My device not detected by app,Technical Issue
Product expired on delivery,Refund Request
Wrong shipping address used,Address Change
I want my account history,Account Settings
